manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
Mitsubishi,Galant,1989,Ащибулак,хэтчбек,,механика,слева,серый,передний привод,650000,2.0,бензин
Kia,Sportage,2014,Нур-Султан (Астана),кроссовер,110000.0,автомат,слева,оранжевый,передний привод,6900000,2.0,бензин
Infiniti,QX80,2014,Нур-Султан (Астана),внедорожник,171000.0,автомат,слева,черный,полный привод,15700000,5.6,бензин
Toyota,Carina E,1996,Алматы,хэтчбек,,механика,слева,серый металлик,передний привод,1800000,1.6,бензин
Volkswagen,Passat,2012,Алматы,седан,120000.0,автомат,слева,серебристый металлик,передний привод,6750000,1.8,бензин
Toyota,Land Cruiser,2013,Кызылорда,внедорожник,,автомат,слева,белый металлик,полный привод,20000000,4.6,бензин
Toyota,Corolla,2013,Кызылорда,седан,113500.0,автомат,слева,белый металлик,передний привод,6200000,1.6,бензин
Renault,Arkana,2020,Шымкент,кроссовер,,автомат,слева,,передний привод,10752000,1.6,бензин
Kia,Cadenza,2015,Нур-Султан (Астана),седан,70000.0,автомат,слева,серебристый,передний привод,8890000,3.3,бензин
Hyundai,Accent,2014,Актау,седан,150085.0,автомат,слева,серебристый,передний привод,4300000,1.6,газ-бензин
Volkswagen,Polo,2015,Нур-Султан (Астана),седан,128000.0,автомат,слева,черный,передний привод,4690000,1.6,бензин
Kia,Rio,2018,Шымкент,седан,32000.0,автомат,слева,серый металлик,передний привод,6100000,1.4,бензин
ВАЗ (Lada),2112 (хэтчбек),2001,Костанай,хэтчбек,,механика,слева,зеленый,передний привод,600000,1.6,бензин
BMW,X5,2007,Алматы,кроссовер,239000.0,автомат,слева,коричневый,полный привод,6800000,4.8,бензин
Renault,Arkana,2020,Нур-Султан (Астана),кроссовер,,автомат,слева,,передний привод,9868000,1.6,бензин
Hyundai,Sonata,2016,Кокшетау,седан,70000.0,автомат,слева,черный металлик,передний привод,7800000,2.0,бензин
Honda,Odyssey,2004,Тараз,минивэн,190000.0,автомат,справа,фиолетовый,полный привод,3000000,2.4,бензин
Kia,Sportage,2018,Нур-Султан (Астана),кроссовер,63000.0,автомат,слева,черный металлик,передний привод,10190000,2.0,бензин
Hyundai,Elantra,2019,Нур-Султан (Астана),седан,39000.0,автомат,слева,серый,передний привод,8150000,1.6,бензин
Mitsubishi,ASX,2013,Нур-Султан (Астана),кроссовер,97000.0,автомат,слева,,передний привод,5790000,1.8,бензин
Kia,Sorento,2013,Нур-Султан (Астана),кроссовер,103000.0,автомат,слева,черный,полный привод,8000000,2.4,бензин
Mitsubishi,Galant,2002,Алматы,седан,,автомат,слева,серебристый,передний привод,1600000,2.4,бензин
Audi,100,1990,Есик,седан,,механика,слева,серебристый металлик,полный привод,2000000,2.3,газ-бензин
Renault,Logan,2020,Алматы,седан,,автомат,слева,черный металлик,передний привод,7600000,1.6,бензин
